"","colid","colname","colpop"
"1","1OwarW4LEHnoep20ixRA0y","Robert Plant","55"
"2","0AD4odMWVQ2wUSlgxOB5Rl","Jeff Beck","56"
"3","08avsqaGIlK2x3i2Cu7rKH","Keith Richards","45"
"4","4jBSa0eitusIKxQHjAgsyd","Coverdale/Page","30"
"5","6R7WjUX7Fk4zHPEHSdqEkY","Alvin Lee","40"
"6","2lxX1ivRYp26soIavdG9bX","The Yardbirds","55"
"7","2CxLP749mup3ncPrXgCnvU","Humble Pie","42"
"8","2ODUxmFxJSyvGiimNhMHbO","Johnny Winter","50"
"9","2FcC4sDMXme2ziI7tGKMK8","David Gilmour","56"
"10","7nkLRaWHImCvWGHdNGnhVE","Ten Years After","52"
"11","2e53aHBQdCMKWqHDuyJsjC","Free","56"
"12","2ScuQMRWThcifBRIvNDFDC","John Mayall & The Bluesbreakers","48"
"13","0MAvx5yzdhylg2ztJC3MD3","Robin Trower","46"
"14","3y1DgnVXqckGJrbwOKchdU","Peter Green","44"
"15","1kcWyDvrlPUbyxkIoM6pAV","Rory Gallagher","40"
"16","0augulkuXFx1qPfb590w2C","Roy Buchanan","40"
"17","17obwOahRWI121iMUZznh2","Savoy Brown","41"
"18","0ks4E3VJXDIRABtxz2IiBE","Leslie West","34"
"19","5GUVj2b1lJ4DolQyHlzyaO","Blind Faith","46"
"20","77zwstbi3x1IxnbDFg6uns","Wishbone Ash","43"
"21","07XSN3sPlIlB2L2XNcTwJw","KISS","71"
"22","7Ey4PD4MYsKc5I2dolUwbH","Aerosmith","76"
"23","5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","73"
"24","2cnMpRsOVqtPMfq7YiFE6K","Van Halen","72"
"25","568ZhdwyaiCyOGJRtNYhWf","Deep Purple","68"
"26","2AM4ilv6UzW0uMRuqKtDgN","ZZ Top","69"
"27","3EhbVgyfGd7HkpsagwL9GS","Alice Cooper","64"
"28","3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","80"
"29","6ZLTlhejhndI4Rh53vYhrY","Ozzy Osbourne","70"
"30","1DFr97A9HnbV3SKTJFu62M","Motörhead","67"
"31","2tRsMl4eGxwoNabM08Dm4I","Judas Priest","66"
"32","6urzdpGY5yUimWZsgJUoTb","Airbourne","57"
"33","36QJpDe2go2KgaRleHCDTp","Led Zeppelin","79"
"34","27T030eWyCQRmDyuvr1kxY","Scorpions","70"
"35","6H1RjVyNruCmrBEWRbD0VZ","Def Leppard","67"
"36","1dLWg6m8RRhizsdqJbhyj3","Quiet Riot","59"
"37","4CYeVo5iZbtYGBN4Isc3n6","Dio","63"
"38","7b85ve82Sh36a3UAx74wut","Twisted Sister","60"
"39","0cc6vw3VN8YlIcvr1v7tBL","Mötley Crüe","68"
"40","3UbyYnvNIT5DFXU4WgiGpP","Whitesnake","65"
"41","2DppeCnNtvrLfEobq9Pw5r","Adam & The Ants","47"
"42","52K4ArhA4OgMO7AsyEgqCT","Bow Wow Wow","47"
"43","5LXEAEGrpKQtpyCu2sZuWu","Oingo Boingo","50"
"44","5CT7RBitS0e0u78T8tRBWQ","Missing Persons","39"
"45","0O0lrN34wrcuBenkqlEDZe","The Psychedelic Furs","55"
"46","53RkHTcl0SJZjpzqogkBf4","The Fixx","46"
"47","5KQMtyPE8DCQNUzoNqlEsE","Gary Numan","52"
"48","2Uz58cSxlJgefDaSikxYQ7","Thomas Dolby","45"
"49","2mG8HHQ9S9kcbjcrb5N1FE","The Go-Go's","51"
"50","2s79xe5F6eUQkjwjww27Fh","ABC","53"
"51","7hqZBHSgDs1odG9aupMzEI","Big Audio Dynamite","42"
"52","07h7JMfYWswTq4qpinC5q4","Altered Images","38"
"53","6zPcUezmkw9aGjoRlBxYxw","Wall Of Voodoo","36"
"54","6loBF9iQdE11WSX29fNKqY","Howard Jones","52"
"55","09mvgMBvJkxarNIDGdwPWg","Love and Rockets","43"
"56","1eVEVL20zNLcGrPDOR691N","The English Beat","45"
"57","2aS6jYh7ysTL1ZUsHneNgM","Berlin","59"
"58","0uAjBatvB4ubpd4kCfjmNt","A Flock Of Seagulls","58"
"59","5jVeqi3PNaTOajfvBa4uFn","Thompson Twins","57"
"60","3C6chBmZ9wzisBhoh8G2nK","Naked Eyes","48"
"61","5lKZWd6HiSCLfnDGrq9RAm","Leona Lewis","70"
"62","2gsggkzM5R49q6jpPvazou","Jessie J","75"
"63","7sfgqEdoeBTjd8lQsPT3Cy","Emeli Sandé","72"
"64","0X2BH1fck6amBIoJhDVmmJ","Ellie Goulding","86"
"65","2wY79sveU1sp5g7SokKOiI","Sam Smith","82"
"66","3BmGtnKgCSGYIUhmivXKWX","Kelly Clarkson","75"
"67","7nDsS0l5ZAzMedVRKPP8F1","Ella Henderson","68"
"68","1KCSPY1glIKqW2TotWuXOR","P!nk","80"
"69","2WX2uTcsvV5OnS0inACecP","Birdy","78"
"70","7H55rcKCfwqkyDFH9wpKM6","Christina Perri","74"
"71","3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","78"
"72","3LpLGlgRS1IKPPwElnpW35","James Morrison","68"
"73","6Q192DXotxtaysaqNPy5yR","Amy Winehouse","77"
"74","2Sqr0DXoaYABbjBo9HaMkM","Sara Bareilles","71"
"75","1l7ZsJRRS8wlW3WfJfPfNS","Christina Aguilera","79"
"76","4fwuXg6XQHfdlOdmw36OHa","Paloma Faith","63"
"77","6aZyMrc4doVtZyKNilOmwu","Colbie Caillat","73"
"78","13saZpZnCDWOI9D4IJhp1f","Lily Allen","71"
"79","4ScCswdRlyA23odg9thgIO","Jess Glynne","75"
"80","4EzkuveR9pLvDVFNx6foYD","James Bay","78"
"81","2cnMpRsOVqtPMfq7YiFE6K","Van Halen","72"
"82","3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","80"
"83","07XSN3sPlIlB2L2XNcTwJw","KISS","71"
"84","0cc6vw3VN8YlIcvr1v7tBL","Mötley Crüe","68"
