Festival,year,location,city,second location,second city,Stage name,actfilter,Solo/band,Formation,Country of origin,Birthplace,Ethnicity,Gender,Age present,Age (at time of appearance),Years active (at time of appearance),still active,rock n roll hall of fame,year inducted
bestival,2007,robin hill,isle of wight,,,Chemical Brothers,1,b,1989,england,manchester,white british,m,47,37,18,y,,
bestival,2007,robin hill,isle of wight,,,Beastie Boys,1,b,1980,United States,new york,white american,m,50,40,27,n,,
bestival,2007,robin hill,isle of wight,,,Primal Scream,1,b,1982,scotland,glasgow,white british,m,52,42,25,y,,
bestival,2008,robin hill,isle of wight,,,my bloody valentine,1,b,1983,ireland,dublin,white irish,mixed,53,44,25,y,,
bestival,2008,robin hill,isle of wight,,,underworld,1,b,1980,england,london,white british,m,58,49,28,y,,
bestival,2008,robin hill,isle of wight,,,amy winehouse,1,s,2003,england,london,white british,f,,,5,n,,
bestival,2009,robin hill,isle of wight,,,Elbow,1,b,1997,england,bury,white british,m,43,35,12,y,,
bestival,2009,robin hill,isle of wight,,,massive attack,1,b,1988,england,bristol,mixed,m,53,45,21,y,,
bestival,2009,robin hill,isle of wight,,,Kraftwerk,1,b,1969,germany,dusseldorf,white european,m,64,56,40,y,,
bestival,2010,robin hill,isle of wight,,,dizzee rascal,1,s,2000,england,london,black british,m,32,25,10,y,,
bestival,2010,robin hill,isle of wight,,,The Prodigy,1,b,1990,england,essex,mixed,m,47,40,20,y,,
bestival,2010,robin hill,isle of wight,,,the flaming lips,1,b,1983,United States,oklahoma,white american,m,53,46,27,y,,
bestival,2011,robin hill,isle of wight,,,bjork,1,s,1976,iceland,reykjavik,white european,f,51,45,35,y,,
bestival,2011,robin hill,isle of wight,,,The Cure,1,b,1976,england,crawley,white british,m,57,51,35,y,,
bestival,2011,robin hill,isle of wight,,,pendulum,1,b,2002,australia,perth,mixed,m,,,9,y,,
bestival,2012,robin hill,isle of wight,,,Florence & the Machine,1,b,2007,england,london,white british,f,30,25,5,y,,
bestival,2012,robin hill,isle of wight,,,New Order,1,b,1980,england,manchester,white british,m,59,54,32,y,,
bestival,2012,robin hill,isle of wight,,,Stevie Wonder,1,s,1961,United States,michigan,african american,m,66,61,51,y,,
bestival,2013,robin hill,isle of wight,,,snoop dogg,1,s,1992,United States,california,black american,m,45,41,21,y,,
bestival,2013,robin hill,isle of wight,,,fatboy slim,1,s,1996,england,london,white british,m,53,49,17,y,,
bestival,2013,robin hill,isle of wight,,,elton john,1,b,1963,england,london,white british,m,70,66,50,y,,
bestival,2014,robin hill,isle of wight,,,Foals,1,b,2005,england,oxfordshire,mixed,m,30,27,9,y,,
bestival,2014,robin hill,isle of wight,,,outkast,1,b,1991,United States,georgia,black american,m,42,39,23,y,,
bestival,2014,robin hill,isle of wight,,,beck,1,s,1985,United States,los angeles,white american,m,46,43,29,y,,
bestival,2014,robin hill,isle of wight,,,chic,1,b,1976,United States,new york,black american,mixed,64,61,38,y,,
bestival,2015,robin hill,isle of wight,,,missy elliott,1,s,1989,United States,virginia,black american,f,45,43,26,y,,
bestival,2015,robin hill,isle of wight,,,Chemical Brothers,2,b,1989,england,manchester,white british,m,47,45,26,y,,
bestival,2015,robin hill,isle of wight,,,duran duran,1,b,1978,england,birmingham,white british,m,56,54,37,y,,
bestival,2016,robin hill,isle of wight,,,major lazer,1,b,2009,,,mixed,m,36,35,7,y,,
bestival,2016,robin hill,isle of wight,,,The Cure,2,b,1976,england,crawley,white british,m,57,56,40,y,,
bestival,2016,robin hill,isle of wight,,,hot chip,1,b,2000,england,london,white british,m,,,16,y,,
bestival,2017,lulworth estate,dorset,,,the xx,1,b,2005,england,london,mixed,mixed,28,28,12,y,,
bestival,2017,lulworth estate,dorset,,,jamie t,1,s,2005,england,london,white british,m,31,31,12,y,,
bestival,2017,lulworth estate,dorset,,,Pet Shop Boys,1,b,1981,england,london,white british,m,60,60,36,y,,
bestival,2017,lulworth estate,dorset,,,a tribe called quest,1,b,1985,United States,new york,black american,mixed,,,32,y,,
boardmasters,2007,newquay,cornwall,,,Ash,1,b,1992,northern ireland,downpatrick,white british,m,40,30,15,y,,
boardmasters,2007,newquay,cornwall,,,the subways,1,b,2000,england,hertfordshire,white british,mixed,,,7,y,,
boardmasters,2007,newquay,cornwall,,,funeral for a friend,1,b,2001,wales,bridgend,white british,m,,,6,n,,
boardmasters,2008,newquay,cornwall,,,groove armada,1,b,1996,england,london,white british,m,45,36,12,y,,
boardmasters,2008,newquay,cornwall,,,the zutons,1,b,2001,england,liverpool,white british,mixed,,,7,n,,
boardmasters,2008,newquay,cornwall,,,the pigeon detectives,1,b,2004,england,west yorkshire,white british,m,,,4,y,,
boardmasters,2009,newquay,cornwall,,,Calvin Harris,1,s,2002,scotland,dumfries,white british,m,33,25,7,y,,
boardmasters,2009,newquay,cornwall,,,super furry animals,1,b,1993,wales,cardiff,white british,m,45,37,16,y,,
boardmasters,2009,newquay,cornwall,,,cypress hill,1,b,1988,United States,california,latin american,m,49,41,21,y,,
boardmasters,2009,newquay,cornwall,,,the streets,1,b,1994,england,birmingham,mixed,m,,,15,n,,
boardmasters,2010,newquay,cornwall,,,newton faulkner,1,s,2006,england,surrey,white british,m,32,25,4,y,,
boardmasters,2010,newquay,cornwall,,,seasick steve,1,s,,united states,california,white american,m,75,68,,y,,
boardmasters,2010,newquay,cornwall,,,leftfield,1,,1989,england,london,mixed,mixed,,,21,y,,
boardmasters,2010,newquay,cornwall,,,chase & status,1,b,2003,england,london,white british,m,,,7,y,,
boardmasters,2011,newquay,cornwall,,,klaxons,1,b,2005,england,london,white british,m,33,27,6,n,,
boardmasters,2011,newquay,cornwall,,,fatboy slim,2,s,1996,england,london,white british,m,53,47,15,y,,
boardmasters,2011,newquay,cornwall,,,bombay bicycle club,1,b,2005,england,london,mixed,m,,,6,n,,
boardmasters,2012,newquay,cornwall,,,ed sheeran,1,s,2004,england,suffolk,white british,m,26,21,8,y,,
boardmasters,2012,newquay,cornwall,,,dizzee rascal,2,s,2000,england,london,black british,m,32,27,12,y,,
boardmasters,2013,newquay,cornwall,,,ben howard,1,s,2008,england,devon,white british,m,29,25,5,y,,
boardmasters,2013,newquay,cornwall,,,Basement Jaxx,1,b,1994,england,london,white british,m,47,43,19,y,,
boardmasters,2013,newquay,cornwall,,,the vaccines,1,b,2010,england,london,,,,,3,y,,
boardmasters,2014,newquay,cornwall,,,bastille,1,b,2010,england,london,white british,mixed,30,27,4,y,,
boardmasters,2014,newquay,cornwall,,,snoop dogg,2,s,1992,United States,california,black american,m,45,42,22,y,,
boardmasters,2014,newquay,cornwall,,,chase & status,2,b,2003,england,london,white british,m,,,11,y,,
boardmasters,2015,newquay,cornwall,,,bastille,2,b,2010,england,london,white british,mixed,30,28,5,y,,
boardmasters,2015,newquay,cornwall,,,Faithless,1,b,1995,england,london,black british,mixed,52,50,20,y,,
boardmasters,2015,newquay,cornwall,,,rudimental,1,b,2010,england,london,mixed,mixed,,,5,y,,
boardmasters,2016,newquay,cornwall,,,james bay,1,s,2013,england,hertfordshire,white british,m,23,22,3,y,,
boardmasters,2016,newquay,cornwall,,,deadmau5,1,s,1998,canada,ontario,white canadian,m,36,35,18,y,,
boardmasters,2016,newquay,cornwall,,,chase & status,3,b,2003,england,london,white british,m,,,13,y,,
boardmasters,2017,newquay,cornwall,,,jamiroquai,1,b,1992,england,london,white british,m,47,47,25,y,,
boardmasters,2017,newquay,cornwall,,,two door cinema club,1,b,2007,northern ireland,county down,white british,m,,,10,y,,
boardmasters,2017,newquay,cornwall,,,alt-J,1,b,2007,england,leeds,white british,m,,,10,y,,
cornbury festival,2004,charlbury,oxfordshire,,,will young,1,s,2001,england,wokingham,white british,m,38,25,3,y,,
cornbury festival,2004,charlbury,oxfordshire,,,jools holland,1,b,1974,england,london,white british,m,57,44,30,y,,
cornbury festival,2005,charlbury,oxfordshire,,,elvis costello,1,s,1970,england,london,white british,m,62,50,35,y,,
cornbury festival,2005,charlbury,oxfordshire,,,joe cocker,1,s,1961,england,sheffield,white british,m,,,44,y,,
cornbury festival,2006,charlbury,oxfordshire,,,texas,1,b,1986,scotland,glasgow,white british,mixed,49,38,20,y,,
cornbury festival,2006,charlbury,oxfordshire,,,robert plant,1,s,1965,england,staffordshire,white british,m,68,57,41,y,,
cornbury festival,2007,charlbury,oxfordshire,,,david gray,1,s,1992,england,trafford,white british,m,48,38,15,y,,
cornbury festival,2007,charlbury,oxfordshire,,,blondie,1,b,1974,United States,new york,white american,mixed,66,56,33,y,,
cornbury festival,2008,charlbury,oxfordshire,,,crowded house,1,b,1985,australia,melbourne,white australian,m,58,49,23,y,,
cornbury festival,2008,charlbury,oxfordshire,,,paul simon,1,s,1957,United States,new jersey,white american,m,75,66,51,y,,
cornbury festival,2009,charlbury,oxfordshire,,,sugababes,1,b,1998,england,london,mixed,f,32,24,11,y,,
cornbury festival,2009,charlbury,oxfordshire,,,scouting for girls,1,b,2005,england,london,,m,38,30,4,y,,
cornbury festival,2010,charlbury,oxfordshire,,,david gray,2,s,1992,england,trafford,white british,m,48,41,18,y,,
cornbury festival,2010,charlbury,oxfordshire,,,jackson browne,1,s,1966,United States,california,white american,m,68,61,44,y,,
cornbury festival,2011,chipping norton,oxfordshire,,,james blunt,1,s,2003,england,hampshire,white british,m,43,37,8,y,,
cornbury festival,2011,chipping norton,oxfordshire,,,status quo,1,b,1962,england,london,white british,m,65,59,49,y,,
cornbury festival,2011,chipping norton,oxfordshire,,,the faces,1,b,1969,england,london,white british,m,68,62,42,y,,
cornbury festival,2012,chipping norton,oxfordshire,,,james morrison,1,s,2006,england,warwickshire,white british,m,32,27,6,y,,
cornbury festival,2012,chipping norton,oxfordshire,,,elvis costello,2,s,1970,england,london,white british,m,62,57,42,y,,
cornbury festival,2012,chipping norton,oxfordshire,,,bellowhead,1,b,2004,,,,mixed,,,8,n,,
cornbury festival,2012,chipping norton,oxfordshire,,,katzenjammer,1,b,2005,norway,oslo,white european,,,,7,y,,
cornbury festival,2013,chipping norton,oxfordshire,,,keane,1,b,1995,england,east sussex,white british,m,39,35,18,y,,
cornbury festival,2013,chipping norton,oxfordshire,,,squeeze,1,b,1974,england,london,,mixed,,,39,y,,
