index,Genre,Freq
226,rock,109
135,indie rock,83
13,alternative rock,79
202,pop rock,61
63,dance rock,60
179,new wave,58
239,singer-songwriter,57
196,permanent wave,54
111,garage rock,51
133,indie pop,50
54,classic rock,48
180,new wave pop,47
6,album rock,45
86,electronic,44
257,synthpop,44
102,folk-pop,42
37,britpop,41
162,mellow gold,41
178,new romantic,40
198,pop,40
15,art rock,36
242,soft rock,36
48,chamber pop,35
177,new rave,35
120,hard rock,34
132,indie folk,34
157,madchester,33
10,alternative dance,32
62,dance pop,32
173,neo-psychedelic,32
171,neo mellow,31
136,indietronica,29
231,roots rock,24
107,funk rock,23
252,stomp and holler,23
64,dance-punk,22
24,blues-rock,21
199,pop christmas,21
104,freak folk,20
101,folk rock,19
201,pop rap,19
76,dream pop,18
155,lo-fi,17
221,rap,17
205,post-grunge,16
12,alternative metal,15
8,alt-indie rock,14
14,anti-folk,13
21,big beat,13
72,disco,13
92,europop,13
131,indie christmas,13
100,folk christmas,12
125,hip hop,12
161,melancholia,12
183,noise pop,12
209,power pop,12
266,trip hop,12
53,classic funk rock,11
73,disco house,11
190,nu metal,11
207,post-punk,11
241,slow core,11
267,tropical house,11
134,indie r&b,10
271,uk post-punk,10
99,folk,9
216,punk,9
236,shimmer pop,9
243,soul,9
9,alternative country,8
52,chillwave,8
81,edm,8
115,glam rock,8
124,heavy christmas,8
170,motown,8
175,new americana,8
214,psychedelic rock,8
250,space rock,8
33,british blues,7
49,chamber psych,7
105,funk,7
153,lilith,7
164,metal,7
203,post rock,7
213,protopunk,7
245,soul christmas,7
74,downtempo,6
94,experimental rock,6
114,glam metal,6
116,grime,6
128,house,6
188,nu gaze,6
200,pop punk,6
204,post-disco,6
208,post-teen pop,6
219,quiet storm,6
220,r&b,6
247,southern hip hop,6
4,acoustic pop,5
42,canadian pop,5
80,east coast hip hop,5
82,electric blues,5
88,escape room,5
109,gangster rap,5
126,hip house,5
212,progressive rock,5
215,pub rock,5
248,southern rock,5
270,uk garage,5
5,adult standards,4
84,electro house,4
93,experimental,4
121,hardcore hip hop,4
127,hip pop,4
142,irish rock,4
166,metropopolis,4
197,piano rock,4
222,rap metal,4
223,rap rock,4
233,scottish rock,4
256,symphonic rock,4
264,traditional folk,4
275,vocal house,4
277,welsh rock,4
38,brooklyn indie,3
39,brostep,3
56,compositional ambient,3
61,country rock,3
106,funk metal,3
110,garage psych,3
118,grunge,3
147,jazz funk,3
163,memphis soul,3
168,modern blues,3
181,new weird america,3
184,noise rock,3
217,punk blues,3
218,punk christmas,3
235,sheffield indie,3
238,shoegaze,3
254,stoner rock,3
272,urban contemporary,3
279,world,3
16,australian alternative rock,2
22,big room,2
30,breakbeat,2
31,brill building pop,2
34,british folk,2
35,british indie rock,2
36,british invasion,2
43,candy pop,2
47,celtic rock,2
51,chicago soul,2
60,country blues,2
71,dirty south rap,2
77,drum and bass,2
83,electro,2
87,emo,2
90,etherpop,2
108,g funk,2
129,icelandic pop,2
130,indie anthem-folk,2
146,jazz blues,2
149,kraut rock,2
172,neo soul,2
189,nu jazz,2
194,old school hip hop,2
195,outlaw country,2
206,post-hardcore,2
211,progressive house,2
225,reggae fusion,2
234,screamo,2
244,soul blues,2
249,southern soul,2
259,texas country,2
274,viral pop,2
276,vocal jazz,2
278,west coast rap,2
1,acid house,1
2,acid jazz,1
3,acoustic blues,1
7,albuquerque indie,1
11,alternative hip hop,1
17,australian dance,1
18,australian pop,1
19,bassline,1
20,bebop,1
23,blues,1
25,bmore,1
26,boogie-woogie,1
27,boston rock,1
28,bow pop,1
29,boy band,1
32,british alternative rock,1
40,bubblegum dance,1
41,canadian indie,1
44,canterbury scene,1
45,catstep,1
46,celtic,1
50,chicago indie,1
55,comic,1
57,contemporary jazz,1
58,contemporary post-bop,1
59,cool jazz,1
65,dancehall,1
66,dark cabaret,1
67,deep groove house,1
68,deep new americana,1
69,delta blues,1
70,detroit hip hop,1
75,downtempo fusion,1
78,dub,1
79,e6fi,1
85,electroclash,1
89,ethereal wave,1
91,eurodance,1
95,filter house,1
96,fingerstyle,1
97,flamenco,1
98,focus,1
103,fourth world,1
112,german metal,1
113,german techno,1
117,groove metal,1
119,hard bop,1
122,hardcore techno,1
123,harp,1
137,industrial,1
138,industrial metal,1
139,industrial rock,1
140,intelligent dance music,1
141,irish folk,1
143,jam band,1
144,jangle pop,1
145,jazz,1
148,jazz fusion,1
150,laboratorio,1
151,latin alternative,1
152,leeds indie,1
154,liquid funk,1
156,lovers rock,1
158,mande pop,1
159,math pop,1
160,mbalax,1
165,metalcore,1
167,minimal dub,1
169,moombahton,1
174,neue deutsche harte,1
176,new jack swing,1
182,no wave,1
185,norwegian pop,1
186,norwegian rock,1
187,nu disco,1
191,nu skool breaks,1
192,nwobhm,1
193,ok indie,1
210,progressive bluegrass,1
224,reggae,1
227,rock en espanol,1
228,rock-and-roll,1
229,rockabilly,1
230,roots reggae,1
232,rumba,1
237,shiver pop,1
240,skate punk,1
246,soul jazz,1
251,speed metal,1
253,stoner metal,1
255,swedish indie rock,1
258,texas blues,1
260,thrash metal,1
261,traditional blues,1
262,traditional british folk,1
263,traditional country,1
265,trap music,1
268,twee pop,1
269,uk funky,1
273,vegas indie,1
280,world christmas,1
281,zolo,1
