index,genre,Freq
1229,rock,301
1016,alternative rock,239
1138,indie rock,218
1199,permanent wave,181
1205,pop rock,147
1114,garage rock,145
1089,electronic,134
1066,dance rock,132
1182,new wave,132
1040,britpop,103
1057,classic rock,99
1242,singer-songwriter,95
1136,indie pop,91
1183,new wave pop,89
1009,album rock,85
1160,madchester,79
1174,neo mellow,77
1018,art rock,76
1123,hard rock,75
1165,mellow gold,74
1201,pop,74
1180,new rave,72
1181,new romantic,70
1013,alternative dance,69
1260,synthpop,69
1245,soft rock,66
1105,folk-pop,61
1202,pop christmas,61
1110,funk rock,58
1176,neo-psychedelic,58
1065,dance pop,53
1051,chamber pop,50
1135,indie folk,50
1024,big beat,45
1208,post-grunge,43
1234,roots rock,42
1139,indietronica,41
1015,alternative metal,40
1027,blues-rock,39
1067,dance-punk,38
1204,pop rap,38
1104,folk rock,37
1134,indie christmas,37
1224,rap,35
1255,stomp and holler,33
1270,tropical house,32
1076,disco house,31
1269,trip hop,30
1079,dream pop,28
1107,freak folk,27
1128,hip hop,26
1084,edm,24
1011,alt-indie rock,23
1131,house,23
1158,lo-fi,23
1167,metal,23
1075,disco,22
1210,post-punk,22
1193,nu metal,21
1095,europop,20
1164,melancholia,19
1017,anti-folk,18
1103,folk christmas,18
1212,power pop,18
1102,folk,16
1186,noise pop,16
1200,piano rock,16
1216,protopunk,16
1238,sheffield indie,16
1274,uk post-punk,16
1280,welsh rock,16
1033,breakbeat,15
1244,slow core,15
1273,uk garage,15
1056,classic funk rock,14
1250,southern hip hop,14
1253,space rock,14
1109,funk metal,13
1119,grime,13
2,NO GENRES LISTED,12
1077,downtempo,12
1087,electro house,12
1137,indie r&b,12
1219,punk,12
1239,shimmer pop,12
1246,soul,12
1248,soul christmas,12
1052,chamber psych,11
1083,east coast hip hop,11
1217,psychedelic rock,11
1223,r&b,11
1045,canadian pop,10
1055,chillwave,10
1117,glam metal,10
1118,glam rock,10
1203,pop punk,10
1206,post rock,10
1207,post-disco,10
1225,rap metal,10
1276,vegas indie,10
1278,vocal house,10
1036,british blues,9
1042,brostep,9
1097,experimental rock,9
1111,g funk,9
1112,gangster rap,9
1125,hardcore techno,9
1127,heavy christmas,9
1129,hip house,9
1156,lilith,9
1173,motown,9
1178,new americana,9
1218,pub rock,9
1236,scottish rock,9
1012,alternative country,8
1039,british invasion,8
1108,funk,8
1211,post-teen pop,8
1214,progressive house,8
1254,speed metal,8
1263,thrash metal,8
1007,acoustic pop,7
1080,drum and bass,7
1085,electric blues,7
1145,irish rock,7
1191,nu gaze,7
1215,progressive rock,7
1222,quiet storm,7
1070,deep groove house,6
1091,escape room,6
1169,metropopolis,6
1192,nu jazz,6
1226,rap rock,6
1251,southern rock,6
1259,symphonic rock,6
1268,trap music,6
1275,urban contemporary,6
1008,adult standards,5
1059,compositional ambient,5
1073,detroit hip hop,5
1096,experimental,5
1195,nwobhm,5
1220,punk blues,5
1221,punk christmas,5
1257,stoner rock,5
1267,traditional folk,5
1281,west coast rap,5
1,#N/A,4
1005,acid jazz,4
1025,big room,4
1041,brooklyn indie,4
1044,canadian indie,4
1064,country rock,4
1113,garage psych,4
1121,grunge,4
1124,hardcore hip hop,4
1130,hip pop,4
1184,new weird america,4
1187,noise rock,4
1194,nu skool breaks,4
1228,reggae fusion,4
1241,shoegaze,4
1022,bassline,3
1086,electro,3
1090,emo,3
1093,etherpop,3
1132,icelandic pop,3
1150,jazz funk,3
1152,kraut rock,3
1157,liquid funk,3
1162,math pop,3
1166,memphis soul,3
1171,modern blues,3
1196,ok indie,3
1197,old school hip hop,3
1237,screamo,3
1272,uk funky,3
1282,world,3
1019,australian alternative rock,2
1029,boogie-woogie,2
1031,bow pop,2
1032,boy band,2
1034,brill building pop,2
1037,british folk,2
1038,british indie rock,2
1046,candy pop,2
1050,celtic rock,2
1054,chicago soul,2
1058,comic,2
1063,country blues,2
1074,dirty south rap,2
1092,ethereal wave,2
1115,german metal,2
1116,german techno,2
1126,harp,2
1133,indie anthem-folk,2
1140,industrial,2
1141,industrial metal,2
1142,industrial rock,2
1149,jazz blues,2
1172,moombahton,2
1175,neo soul,2
1177,neue deutsche harte,2
1198,outlaw country,2
1209,post-hardcore,2
1231,rock-and-roll,2
1232,rockabilly,2
1247,soul blues,2
1252,southern soul,2
1258,swedish indie rock,2
1262,texas country,2
1271,twee pop,2
1277,viral pop,2
1279,vocal jazz,2
1004,acid house,1
1006,acoustic blues,1
1010,albuquerque indie,1
1014,alternative hip hop,1
1020,australian dance,1
1021,australian pop,1
1023,bebop,1
1026,blues,1
1028,bmore,1
1030,boston rock,1
1035,british alternative rock,1
1043,bubblegum dance,1
1047,canterbury scene,1
1048,catstep,1
1049,celtic,1
1053,chicago indie,1
1060,contemporary jazz,1
1061,contemporary post-bop,1
1062,cool jazz,1
1068,dancehall,1
1069,dark cabaret,1
1071,deep new americana,1
1072,delta blues,1
1078,downtempo fusion,1
1081,dub,1
1082,e6fi,1
1088,electroclash,1
1094,eurodance,1
1098,filter house,1
1099,fingerstyle,1
1100,flamenco,1
1101,focus,1
1106,fourth world,1
1120,groove metal,1
1122,hard bop,1
1143,intelligent dance music,1
1144,irish folk,1
1146,jam band,1
1147,jangle pop,1
1148,jazz,1
1151,jazz fusion,1
1153,laboratorio,1
1154,latin alternative,1
1155,leeds indie,1
1159,lovers rock,1
1161,mande pop,1
1163,mbalax,1
1168,metalcore,1
1170,minimal dub,1
1179,new jack swing,1
1185,no wave,1
1188,norwegian pop,1
1189,norwegian rock,1
1190,nu disco,1
1213,progressive bluegrass,1
1227,reggae,1
1230,rock en espanol,1
1233,roots reggae,1
1235,rumba,1
1240,shiver pop,1
1243,skate punk,1
1249,soul jazz,1
1256,stoner metal,1
1261,texas blues,1
1264,traditional blues,1
1265,traditional british folk,1
1266,traditional country,1
1283,world christmas,1
1284,x,1
1285,zolo,1
