artist,musicbrainzurl,spotify
a tribe called quest,,09hVIj6vWgoCDtT03h8ZCa
AC/DC,http://musicbrainz.org/artist/66c662b6-6e2f-4930-8610-912e24c63ed1,711MCceyCBcFnzjGY4Q7Un
adam ant,http://musicbrainz.org/artist/e188a520-9cb7-4f73-a3d7-2f70c6538e92,3QP0XPDwbvGivqDAaJ5f5G
Adele,http://musicbrainz.org/artist/1de93a63-3a9f-443a-ba8a-a43b5fe0121e,4dpARuHxo51G3z768sgnrY
Aerosmith,http://musicbrainz.org/artist/3d2b98e5-556f-4451-a3ff-c50ea18d57cb,7Ey4PD4MYsKc5I2dolUwbH
alt-J,http://musicbrainz.org/artist/fc7bbf00-fbaa-4736-986b-b3ac0266ca9b,3XHO7cRUPCLOr6jwp8vsx5
amy winehouse,,6Q192DXotxtaysaqNPy5yR
andy bell,http://musicbrainz.org/artist/83f2601a-81f9-432b-bbd9-8e01168ae3f4,3FTxQTEzrX6tcJYSlsdUle
animal collective,http://musicbrainz.org/artist/0c751690-c784-4a4f-b1e4-c1de27d47581,4kwxTgCKMipBKhSnEstNKj
Antony and the Johnsons,http://musicbrainz.org/artist/90cc2464-234e-4da0-b39b-576f36e633bc,4fxp616ALtFWnXfwxnjLzW
Arcade Fire,http://musicbrainz.org/artist/52074ba6-e495-4ef3-9bb4-0703888a9f68,3kjuyTCjPG1WMFCiyc5IuB
Arctic Monkeys,http://musicbrainz.org/artist/ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,7Ln80lUS6He07XvHI8qqHH
Ash,http://musicbrainz.org/artist/f3a54ed7-1944-44c1-b374-498f24a10cdc,2evydP72Z45DouM4uMGsIE
audioslave,http://musicbrainz.org/artist/020bfbb4-05c3-4c86-b372-17825c262094,2ziB7fzrXBoh1HUPS6sVFn
Avenged sevenfold,http://musicbrainz.org/artist/24e1b53c-3085-4581-8472-0b0088d2508c,0nmQIMXWTXfhgOBdNzhGOs
avicii,http://musicbrainz.org/artist/c85cfd6b-b1e9-4a50-bd55-eb725f04f7d5,1vCWHaC5f2uS3yhpwWbIA6
azealia banks,http://musicbrainz.org/artist/0c3505e7-d884-43cf-9028-d318607190a4,7gRhy3MIPHQo5CXYfWaw9I
badly drawn boy,http://musicbrainz.org/artist/0881daf1-20df-4a3e-a84f-6476a84bb172,244fcyNSuyhbRlMGfMbYrO
Basement Jaxx,http://musicbrainz.org/artist/28cbf94d-0700-4095-a188-37e373b069a7,4YrKBkKSVeqDamzBPWVnSJ
bastille,http://musicbrainz.org/artist/5e836184-f179-4e27-b96c-9b622a2626d6,7EQ0qTo7fWT7DPxmxtSYEc
bat for lashes,http://musicbrainz.org/artist/10000730-525f-4ed5-aaa8-92888f060f5f,6l77PmL5iuEEcYjGl8K6s7
beach house,http://musicbrainz.org/artist/d5cc67b8-1cc4-453b-96e8-44487acdebea,56ZTgzPBDge0OvCGgMO3OY
Beastie Boys,http://musicbrainz.org/artist/9beb62b2-88db-4cea-801e-162cd344ee53,03r4iKL2g2442PT9n2UKsx
beck,,3vbKDsSS70ZX9D2OcvbZmS
beirut,http://musicbrainz.org/artist/989276c4-d2e8-4599-a2a0-c9ebeba73104,6pmxr66tMAePxzOLfjGNcX
Belle and Sebastian,http://musicbrainz.org/artist/e5c7b94f-e264-473c-bb0f-37c85d4d5c70,4I2BJf80C0skQpp1sQmA0h
bellowhead,http://musicbrainz.org/artist/9b1e9c88-16e5-4a84-81ab-b7543149c8d2,79fyBJJSUvWw4263rXYDM0
ben howard,http://musicbrainz.org/artist/534dda3c-b73f-408b-8889-bd68eae84df6,5schNIzWdI9gJ1QRK8SBnc
Beyonce,http://musicbrainz.org/artist/859d0860-d480-4efd-970c-c05d5f1776b8,6vWDO969PvNqNYHIOW5v0m
Biffy Clyro,http://musicbrainz.org/artist/892500b7-09a6-4049-ba92-2d192dd70563,1km0R7wy712AzLkA1WjKET
big country,http://musicbrainz.org/artist/b4013ff1-d7ce-4b1a-af6e-e0b19ca7f378,1h8YIw9HLr6E8gdXVDRbVJ
Billy Idol,http://musicbrainz.org/artist/47c8f88b-987a-4b64-9175-2b1b57809727,7lzordPuZEXxwt9aoVZYmG
billy ocean,http://musicbrainz.org/artist/0e422e91-a42a-4b4d-8413-9baff67350f2,5IDs1CK15HegSAhGEbSYXo
bjork,,7w29UYBi0qsHi5RTcv3lmA
black sabbath,http://musicbrainz.org/artist/5182c1d9-c7d2-4dad-afa0-ccfeada921a8,5M52tdBnJaKSvOpJGz8mfZ
black uhuru,http://musicbrainz.org/artist/8ee00333-ec2c-439b-a619-ae160aca2a15,5keeQyPKYRxUCKDMECTXG3
Blink 182,http://musicbrainz.org/artist/0743b15a-3c32-48c8-ad58-cb325350befa,6FBDaR13swtiWwGhX1WQsP
Bloc Party,http://musicbrainz.org/artist/8c538f11-c141-4588-8ecb-931083524186,3MM8mtgFzaEJsqbjZBSsHJ
blondie,http://musicbrainz.org/artist/4d2956d1-a3f7-44bb-9a41-67563e1a0c94,4tpUmLEVLCGFr93o8hFFIB
Blur,http://musicbrainz.org/artist/ba853904-ae25-4ebb-89d6-c44cfbd71bd2,7MhMgCo0Bl0Kukl93PZbYS
bombay bicycle club,http://musicbrainz.org/artist/0ae49abe-d6af-44fa-8ab0-b9ace5690e6f,3pTE9iaJTkWns3mxpNQlJV
Bon Iver,http://musicbrainz.org/artist/437a0e49-c6ae-42f6-a6c1-84f25ed366bc,4LEiUm1SRbFMgfqnQTwUbQ
Bon Jovi,http://musicbrainz.org/artist/5dcdb5eb-cb72-4e6e-9e63-b7bace604965,58lV9VcRSjABbAbfWS6skp
Boy George,http://musicbrainz.org/artist/2787bddf-6439-4c73-8162-5f4a1e5fa030,2BWfZGPtsjRlRp7JTDqI45
Bruce Springsteen,http://musicbrainz.org/artist/70248960-cb53-4ea4-943a-edb18f7d336f,3eqjTLE0HfPfh78zjh6TqT
bruno mars,http://musicbrainz.org/artist/afb680f2-b6eb-4cd7-a70b-a63b25c763d5,0du5cEVh5yTK9QJze8zA0C
Bryan Adams,http://musicbrainz.org/artist/4dbf5678-7a31-406a-abbe-232f8ac2cd63,3Z02hBLubJxuFJfhacLSDc
bryan ferry,http://musicbrainz.org/artist/4ef7a9e2-2cf5-483a-8616-ef7791a98026,5RNFFojXkPRmlJZIwXeKQC
calexico,http://musicbrainz.org/artist/5e372a49-5672-4fb8-ba14-18c90780c4f9,1OmdWpAh1pucAuZPzJaxIJ
Calvin Harris,http://musicbrainz.org/artist/d4caad3c-c5c4-44a4-b90c-900650965ba8,7CajNmpbOovFoOoasH2HaY
carter usm,http://musicbrainz.org/artist/91e3c213-51d0-47f1-bafa-0951e31c20c4,7JKYaxqsOWhaHjsG9AVJ7y
chance the rapper,http://musicbrainz.org/artist/373a4c98-a46b-48e4-86ec-f6ca65b4f438,1anyVhU62p31KFi8MEzkbf
Charlatans,http://musicbrainz.org/artist/8434409e-baa9-4e12-b4aa-566a91c7d7cf,5fScAXreYFnuqwOgBsJgSd
chase & status,http://musicbrainz.org/artist/849ac11e-52d9-4639-b5f4-3e3d5315e4ce,3jNkaOXasoc7RsxdchvEVq
Chemical Brothers,http://musicbrainz.org/artist/1946a82a-f927-40c2-8235-38d64f50d043,1GhPHrq36VKCY3ucVaZCfo
chic,,0Xf8oDAJYd2D0k3NLI19OV
christy moore,http://musicbrainz.org/artist/f931ccfa-5c64-4bee-94c0-32fb1a6876c3,3Ebn7mKYzD0L3DaUB1gNJZ
Coldplay,http://musicbrainz.org/artist/cc197bad-dc9c-440d-a5b5-d52ba2e14234,4gzpq5DPGxSnKTe4SA8HAU
conor oberst,http://musicbrainz.org/artist/0eee89dc-7d86-4a15-97be-011652c49288,2Z7gV3uEh1ckIaBzTUCE6R
counting crows,http://musicbrainz.org/artist/a0327dc2-dc76-44d5-aec6-47cd2dff1469,0vEsuISMWAKNctLlUAhSZC
crowded house,http://musicbrainz.org/artist/9854d99f-d954-4c0f-9ae5-58a0cdd885f5,7ohlPA8dRBtCf92zaZCaaB
curtis mayfield,http://musicbrainz.org/artist/4dca4bb2-23ba-4103-97e6-5810311db33a,2AV6XDIs32ofIJhkkDevjm
cypress hill,http://musicbrainz.org/artist/51508c1f-8d07-4a00-9cf1-26c570fe7b78,4P0dddbxPil35MNN9G2MEX
daft punk,http://musicbrainz.org/artist/056e4f3e-d505-4dad-8ec1-d04f521cbb56,4tZwfgrHOc3mvqYlEYSvVi
Damien Rice,http://musicbrainz.org/artist/2119beb8-6ac5-4f21-82a4-b831c90c0024,14r9dR01KeBLFfylVSKCZQ
Damon Albarn,http://musicbrainz.org/artist/7d7a5fdd-0d04-4c36-8bee-906feeae239c,0O98jlCaPzvsoei6U5jfEL
daryl hall and john oates,http://musicbrainz.org/artist/debabff3-2559-46e5-862d-ef2a906d7010,77tT1kLj6mCWtFNqiOmP9H
David Bowie,http://musicbrainz.org/artist/5441c29d-3602-4898-b1a1-b77fa23b8e50,0oSGxfWSnnOXhD2fKuz2Gy
david byrne & st vincent,http://musicbrainz.org/artist/d4659efb-b8eb-4f03-95e9-f69ce35967a9,20vuBdFblWUo2FCOvUzusB
david gray,http://musicbrainz.org/artist/f7ced51c-2105-498b-a399-764ad3941759,7J2lZBANizgPNfUzux31PV
David Guetta,http://musicbrainz.org/artist/302bd7b9-d012-4360-897a-93b00c855680,1Cs0zKBU1kc0i8ypK3B9ai
deadmau5,http://musicbrainz.org/artist/4a00ec9d-c635-463a-8cd4-eb61725f0c60,2CIMQHirSU0MQqyYHq0eOx
Def Leppard,http://musicbrainz.org/artist/7249b899-8db8-43e7-9e6e-22f1e736024e,6H1RjVyNruCmrBEWRbD0VZ
depeche mode,http://musicbrainz.org/artist/8538e728-ca0b-4321-b7e5-cff6565dd4c0,762310PdDnwsDxAQxzQkfX
dizzee rascal,http://musicbrainz.org/artist/1a99cc88-aea3-4fe3-96b9-20791667f65f,0gusqTJKxtU1UTmNRMHZcv
drake,http://musicbrainz.org/artist/b49b81cc-d5b7-4bdd-aadb-385df8de69a6,3TVXtAsR1Inumwj472S9r4
duran duran,http://musicbrainz.org/artist/1a1cd7f3-e5df-4eca-bae2-2757c9e656b5,0lZoBs4Pzo7R89JM9lxwoT
echo and the bunnymen,http://musicbrainz.org/artist/ccd4879c-5e88-4385-b131-bf65296bf245,0fgYKF9Avljex0L9Wt5b8Z
