index,col1b,col2b
1,55bGuHb50r5c0PeqqMeNBV,1OwarW4LEHnoep20ixRA0y
2,55bGuHb50r5c0PeqqMeNBV,0AD4odMWVQ2wUSlgxOB5Rl
3,55bGuHb50r5c0PeqqMeNBV,08avsqaGIlK2x3i2Cu7rKH
4,55bGuHb50r5c0PeqqMeNBV,4jBSa0eitusIKxQHjAgsyd
5,55bGuHb50r5c0PeqqMeNBV,6R7WjUX7Fk4zHPEHSdqEkY
6,55bGuHb50r5c0PeqqMeNBV,2lxX1ivRYp26soIavdG9bX
7,55bGuHb50r5c0PeqqMeNBV,2CxLP749mup3ncPrXgCnvU
8,55bGuHb50r5c0PeqqMeNBV,2ODUxmFxJSyvGiimNhMHbO
9,55bGuHb50r5c0PeqqMeNBV,2FcC4sDMXme2ziI7tGKMK8
10,55bGuHb50r5c0PeqqMeNBV,7nkLRaWHImCvWGHdNGnhVE
11,55bGuHb50r5c0PeqqMeNBV,2e53aHBQdCMKWqHDuyJsjC
12,55bGuHb50r5c0PeqqMeNBV,2ScuQMRWThcifBRIvNDFDC
13,55bGuHb50r5c0PeqqMeNBV,0MAvx5yzdhylg2ztJC3MD3
14,55bGuHb50r5c0PeqqMeNBV,3y1DgnVXqckGJrbwOKchdU
15,55bGuHb50r5c0PeqqMeNBV,1kcWyDvrlPUbyxkIoM6pAV
16,55bGuHb50r5c0PeqqMeNBV,0augulkuXFx1qPfb590w2C
17,55bGuHb50r5c0PeqqMeNBV,17obwOahRWI121iMUZznh2
18,55bGuHb50r5c0PeqqMeNBV,0ks4E3VJXDIRABtxz2IiBE
19,55bGuHb50r5c0PeqqMeNBV,5GUVj2b1lJ4DolQyHlzyaO
20,55bGuHb50r5c0PeqqMeNBV,77zwstbi3x1IxnbDFg6uns
21,711MCceyCBcFnzjGY4Q7Un,07XSN3sPlIlB2L2XNcTwJw
22,711MCceyCBcFnzjGY4Q7Un,7Ey4PD4MYsKc5I2dolUwbH
23,711MCceyCBcFnzjGY4Q7Un,5M52tdBnJaKSvOpJGz8mfZ
24,711MCceyCBcFnzjGY4Q7Un,2cnMpRsOVqtPMfq7YiFE6K
25,711MCceyCBcFnzjGY4Q7Un,568ZhdwyaiCyOGJRtNYhWf
26,711MCceyCBcFnzjGY4Q7Un,2AM4ilv6UzW0uMRuqKtDgN
27,711MCceyCBcFnzjGY4Q7Un,3EhbVgyfGd7HkpsagwL9GS
28,711MCceyCBcFnzjGY4Q7Un,3qm84nBOXUEQ2vnTfUTTFC
29,711MCceyCBcFnzjGY4Q7Un,6ZLTlhejhndI4Rh53vYhrY
30,711MCceyCBcFnzjGY4Q7Un,1DFr97A9HnbV3SKTJFu62M
31,711MCceyCBcFnzjGY4Q7Un,2tRsMl4eGxwoNabM08Dm4I
32,711MCceyCBcFnzjGY4Q7Un,6urzdpGY5yUimWZsgJUoTb
33,711MCceyCBcFnzjGY4Q7Un,36QJpDe2go2KgaRleHCDTp
34,711MCceyCBcFnzjGY4Q7Un,27T030eWyCQRmDyuvr1kxY
35,711MCceyCBcFnzjGY4Q7Un,6H1RjVyNruCmrBEWRbD0VZ
36,711MCceyCBcFnzjGY4Q7Un,1dLWg6m8RRhizsdqJbhyj3
37,711MCceyCBcFnzjGY4Q7Un,4CYeVo5iZbtYGBN4Isc3n6
38,711MCceyCBcFnzjGY4Q7Un,7b85ve82Sh36a3UAx74wut
39,711MCceyCBcFnzjGY4Q7Un,0cc6vw3VN8YlIcvr1v7tBL
40,711MCceyCBcFnzjGY4Q7Un,3UbyYnvNIT5DFXU4WgiGpP
41,3QP0XPDwbvGivqDAaJ5f5G,2DppeCnNtvrLfEobq9Pw5r
42,3QP0XPDwbvGivqDAaJ5f5G,52K4ArhA4OgMO7AsyEgqCT
43,3QP0XPDwbvGivqDAaJ5f5G,5LXEAEGrpKQtpyCu2sZuWu
44,3QP0XPDwbvGivqDAaJ5f5G,5CT7RBitS0e0u78T8tRBWQ
45,3QP0XPDwbvGivqDAaJ5f5G,0O0lrN34wrcuBenkqlEDZe
46,3QP0XPDwbvGivqDAaJ5f5G,53RkHTcl0SJZjpzqogkBf4
47,3QP0XPDwbvGivqDAaJ5f5G,5KQMtyPE8DCQNUzoNqlEsE
48,3QP0XPDwbvGivqDAaJ5f5G,2Uz58cSxlJgefDaSikxYQ7
49,3QP0XPDwbvGivqDAaJ5f5G,2mG8HHQ9S9kcbjcrb5N1FE
50,3QP0XPDwbvGivqDAaJ5f5G,2s79xe5F6eUQkjwjww27Fh
51,3QP0XPDwbvGivqDAaJ5f5G,7hqZBHSgDs1odG9aupMzEI
52,3QP0XPDwbvGivqDAaJ5f5G,07h7JMfYWswTq4qpinC5q4
53,3QP0XPDwbvGivqDAaJ5f5G,6zPcUezmkw9aGjoRlBxYxw
54,3QP0XPDwbvGivqDAaJ5f5G,6loBF9iQdE11WSX29fNKqY
55,3QP0XPDwbvGivqDAaJ5f5G,09mvgMBvJkxarNIDGdwPWg
56,3QP0XPDwbvGivqDAaJ5f5G,1eVEVL20zNLcGrPDOR691N
57,3QP0XPDwbvGivqDAaJ5f5G,2aS6jYh7ysTL1ZUsHneNgM
58,3QP0XPDwbvGivqDAaJ5f5G,0uAjBatvB4ubpd4kCfjmNt
59,3QP0XPDwbvGivqDAaJ5f5G,5jVeqi3PNaTOajfvBa4uFn
60,3QP0XPDwbvGivqDAaJ5f5G,3C6chBmZ9wzisBhoh8G2nK
61,4dpARuHxo51G3z768sgnrY,5lKZWd6HiSCLfnDGrq9RAm
62,4dpARuHxo51G3z768sgnrY,2gsggkzM5R49q6jpPvazou
63,4dpARuHxo51G3z768sgnrY,7sfgqEdoeBTjd8lQsPT3Cy
64,4dpARuHxo51G3z768sgnrY,0X2BH1fck6amBIoJhDVmmJ
65,4dpARuHxo51G3z768sgnrY,2wY79sveU1sp5g7SokKOiI
66,4dpARuHxo51G3z768sgnrY,3BmGtnKgCSGYIUhmivXKWX
67,4dpARuHxo51G3z768sgnrY,7nDsS0l5ZAzMedVRKPP8F1
68,4dpARuHxo51G3z768sgnrY,1KCSPY1glIKqW2TotWuXOR
69,4dpARuHxo51G3z768sgnrY,2WX2uTcsvV5OnS0inACecP
70,4dpARuHxo51G3z768sgnrY,7H55rcKCfwqkyDFH9wpKM6
71,4dpARuHxo51G3z768sgnrY,3DiDSECUqqY1AuBP8qtaIa
72,4dpARuHxo51G3z768sgnrY,3LpLGlgRS1IKPPwElnpW35
73,4dpARuHxo51G3z768sgnrY,6Q192DXotxtaysaqNPy5yR
