Index,Headliner,Related artist,Headliner ID,Related artist ID,Headliner connections
3801,Razorlight,Kaiser Chiefs,450iujbtN6XgiA9pv6fVZz,0LbLWjaweRbO4FDKYlbfNt,24
3814,Razorlight,Kasabian,450iujbtN6XgiA9pv6fVZz,11wRdbnoYqRddKBrpHt4Ue,24
3818,Razorlight,Stereophonics,450iujbtN6XgiA9pv6fVZz,21UJ7PRWb3Etgsu99f8yo8,24
3808,Razorlight,The Libertines,450iujbtN6XgiA9pv6fVZz,4fSPtBgFPZzygkY6MehwQ7,24
3802,Razorlight,The Pigeon Detectives,450iujbtN6XgiA9pv6fVZz,7FPkZue0zzjHaOPJb4WCw3,24
3810,Razorlight,The Zutons,450iujbtN6XgiA9pv6fVZz,2qV7axHq9Jk7QqFcB3f05A,24
2944,Manic Street Preachers,Ash,2uH0RyPcX7fnCcT90HFDQX,2evydP72Z45DouM4uMGsIE,20
2953,Manic Street Preachers,Blur,2uH0RyPcX7fnCcT90HFDQX,7MhMgCo0Bl0Kukl93PZbYS,20
4998,The Libertines,Kaiser Chiefs,4fSPtBgFPZzygkY6MehwQ7,0LbLWjaweRbO4FDKYlbfNt,20
4991,The Libertines,Kasabian,4fSPtBgFPZzygkY6MehwQ7,11wRdbnoYqRddKBrpHt4Ue,20
2960,Manic Street Preachers,Primal Scream,2uH0RyPcX7fnCcT90HFDQX,3wury2nd8idV4GecUg5xze,20
2955,Manic Street Preachers,Pulp,2uH0RyPcX7fnCcT90HFDQX,36E7oYfz3LLRto6l2WmDcD,20
4985,The Libertines,Razorlight,4fSPtBgFPZzygkY6MehwQ7,450iujbtN6XgiA9pv6fVZz,20
2949,Manic Street Preachers,Richard Ashcroft,2uH0RyPcX7fnCcT90HFDQX,1HGTHrRQkw0BtevSo1jucU,20
2952,Manic Street Preachers,Stereophonics,2uH0RyPcX7fnCcT90HFDQX,21UJ7PRWb3Etgsu99f8yo8,20
2954,Manic Street Preachers,Suede,2uH0RyPcX7fnCcT90HFDQX,6PHIK3kjWggLtVygsOtpqS,20
2943,Manic Street Preachers,The Charlatans,2uH0RyPcX7fnCcT90HFDQX,5fScAXreYFnuqwOgBsJgSd,20
4992,The Libertines,The Maccabees,4fSPtBgFPZzygkY6MehwQ7,0vW8z9pZMGCcRtGPGtyqiB,20
4986,The Libertines,The Pigeon Detectives,4fSPtBgFPZzygkY6MehwQ7,7FPkZue0zzjHaOPJb4WCw3,20
4995,The Libertines,The Vaccines,4fSPtBgFPZzygkY6MehwQ7,0Ak6DLKHtpR6TEEnmcorKA,20
2959,Manic Street Preachers,The Verve,2uH0RyPcX7fnCcT90HFDQX,2cGwlqi3k18jFpUyTrsR84,20
1564,The Charlatans,Happy Mondays,5fScAXreYFnuqwOgBsJgSd,339DNkQkuhHKEcHw6oK8f0,19
1580,The Charlatans,Manic Street Preachers,5fScAXreYFnuqwOgBsJgSd,2uH0RyPcX7fnCcT90HFDQX,19
1579,The Charlatans,Paul Weller,5fScAXreYFnuqwOgBsJgSd,7Lf3LOZp3U3u2f6cWMd3AH,19
1565,The Charlatans,Primal Scream,5fScAXreYFnuqwOgBsJgSd,3wury2nd8idV4GecUg5xze,19
1577,The Charlatans,Richard Ashcroft,5fScAXreYFnuqwOgBsJgSd,1HGTHrRQkw0BtevSo1jucU,19
1571,The Charlatans,The Stone Roses,5fScAXreYFnuqwOgBsJgSd,1lYT0A0LV5DUfxr6doRP3d,19
4918,The Human League,Duran Duran,1aX2dmV8XoHYCOQRxjPESG,0lZoBs4Pzo7R89JM9lxwoT,18
5076,The Pigeon Detectives,Kaiser Chiefs,7FPkZue0zzjHaOPJb4WCw3,0LbLWjaweRbO4FDKYlbfNt,18
4905,The Human League,Orchestral Manoeuvres In The Dark,1aX2dmV8XoHYCOQRxjPESG,7wJ9NwdRWtN92NunmXuwBk,18
5063,The Pigeon Detectives,Razorlight,7FPkZue0zzjHaOPJb4WCw3,450iujbtN6XgiA9pv6fVZz,18
4917,The Human League,Simple Minds,1aX2dmV8XoHYCOQRxjPESG,6hN9F0iuULZYWXppob22Aj,18
5077,The Pigeon Detectives,The Libertines,7FPkZue0zzjHaOPJb4WCw3,4fSPtBgFPZzygkY6MehwQ7,18
5075,The Pigeon Detectives,The Maccabees,7FPkZue0zzjHaOPJb4WCw3,0vW8z9pZMGCcRtGPGtyqiB,18
5079,The Pigeon Detectives,The Wombats,7FPkZue0zzjHaOPJb4WCw3,0Ya43ZKWHTKkAbkoJJkwIB,18
4907,The Human League,Thompson Twins,1aX2dmV8XoHYCOQRxjPESG,5jVeqi3PNaTOajfvBa4uFn,18
3641,Primal Scream,Happy Mondays,3wury2nd8idV4GecUg5xze,339DNkQkuhHKEcHw6oK8f0,17
3650,Primal Scream,Manic Street Preachers,3wury2nd8idV4GecUg5xze,2uH0RyPcX7fnCcT90HFDQX,17
3657,Primal Scream,Pulp,3wury2nd8idV4GecUg5xze,36E7oYfz3LLRto6l2WmDcD,17
3653,Primal Scream,Super Furry Animals,3wury2nd8idV4GecUg5xze,0FOcXqJgJ1oq9XfzYTDZmZ,17
3642,Primal Scream,The Charlatans,3wury2nd8idV4GecUg5xze,5fScAXreYFnuqwOgBsJgSd,17
3645,Primal Scream,The Stone Roses,3wury2nd8idV4GecUg5xze,1lYT0A0LV5DUfxr6doRP3d,17
738,Blur,Ash,7MhMgCo0Bl0Kukl93PZbYS,2evydP72Z45DouM4uMGsIE,16
2419,Kaiser Chiefs,Bloc Party,0LbLWjaweRbO4FDKYlbfNt,3MM8mtgFzaEJsqbjZBSsHJ,16
5008,The Maccabees,Bombay Bicycle Club,0vW8z9pZMGCcRtGPGtyqiB,3pTE9iaJTkWns3mxpNQlJV,16
