Festival,year,Notes,Stage name,genres on Spotify,,,,,,,,,,,,,
cornbury festival,2014,,Gipsy Kings,"flamenco,rumba,world,world christmas",,,,,,,,,,,,,
end of the road festival,2013,david byrne & St. Vincent - each treated separately for genre purposes,david byrne,"art rock,dance rock,fourth world,permanent wave,singer-songwriter",,,,,,,,,,,,,
end of the road festival,2013,david byrne & St. Vincent - each treated separately for genre purposes,St. Vincent,"alternative dance,alternative rock,anti-folk,chamber pop,chillwave,dream pop,escape room,etherpop,folk-pop,freak folk,indie folk,indie pop,indie r&b,indie rock,indietronica,lo-fi,metropopolis,neo-psychedelic,new rave,noise pop,pop,pop rock,shimmer pop,singer-songwriter,synthpop",,,,,,,,,,,,,
Glastonbury,1994,,levellers,"britpop,celtic rock,madchester",,,,,,,,,,,,,
Reading,1998,Jimmy Page and Robert Plant - each treated separately for genre purposes,Jimmy Page,"album rock,blues-rock,british blues,classic rock,electric blues,hard rock,rock",,,,,,,,,,,,,
Reading,1998,Jimmy Page and Robert Plant - each treated separately for genre purposes,Robert Plant,"album rock,art rock,blues-rock,british blues,classic rock,electric blues,folk rock,hard rock,mellow gold,progressive rock,rock,roots rock,singer-songwriter,soft rock,symphonic rock",,,,,,,,,,,,,
rewind,2014,,Daryl Hall & John Oates,"adult standards,album rock,classic funk rock,classic rock,dance rock,disco,folk rock,hard rock,mellow gold,motown,new wave pop,rock,singer-songwriter,soft rock",,,,,,,,,,,,,
cornbury festival,2016,,seal,soft rock,,,,,,,,,,,,,
Glastonbury,1983,,ub40,reggae fusion,,,,,,,,,,,,,
rewind,2013,,ub40,reggae fusion,,,,,,,,,,,,,
rewind,2013,,ub40,reggae fusion,,,,,,,,,,,,,
Glastonbury,2015,,Kanye West,"pop,pop christmas,pop rap,rap",,,,,,,,,,,,,
Wireless,2009,,Kanye West,"pop,pop christmas,pop rap,rap",,,,,,,,,,,,,
Wireless,2014,,Kanye West,"pop,pop christmas,pop rap,rap",,,,,,,,,,,,,
Glastonbury,1999,,Skunk Anansie,pop rock,,,,,,,,,,,,,
Wireless,2017,,chance the rapper,"pop rap,rap",,,,,,,,,,,,,
boardmasters,2012,,ed sheeran,pop,,,,,,,,,,,,,
Glastonbury,2002,,Coldplay,"permanent wave,pop,pop christmas",,,,,,,,,,,,,
Glastonbury,2005,,Coldplay,"permanent wave,pop,pop christmas",,,,,,,,,,,,,
Glastonbury,2011,,Coldplay,"permanent wave,pop,pop christmas",,,,,,,,,,,,,
Glastonbury,2016,,Coldplay,"permanent wave,pop,pop christmas",,,,,,,,,,,,,
Isle of Wight,2006,,Coldplay,"permanent wave,pop,pop christmas",,,,,,,,,,,,,
t in the park,2003,,Coldplay,"permanent wave,pop,pop christmas",,,,,,,,,,,,,
t in the park,2011,,Coldplay,"permanent wave,pop,pop christmas",,,,,,,,,,,,,
v festival,2003,,Coldplay,"permanent wave,pop,pop christmas",,,,,,,,,,,,,
